Frame,Sub Frame,Fx,Fy,Fz,Cx,Cy
23,2,-2.33919,3.12885,583.23,0.8300687477992384,0.3808424146749477
23,3,-1.92781,2.70609,582.329,0.8303521773146031,0.38108096254733437
23,4,-2.25831,2.35544,584.282,0.8298910240715813,0.38128626112027275
23,5,-2.1722,2.14309,582.726,0.8298895338488063,0.3813849198661399
23,6,-2.1811,2.17418,582.638,0.8293424205583183,0.3811896544883294
23,7,-2.20089,2.7136,582.523,0.8287683568060477,0.38125575188562216
23,8,-2.20089,2.86388,582.17,0.8287760499323588,0.38081264753593963
23,9,-2.47378,3.45571,581.817,0.8288163965778677,0.38085621186419316
24,0,-2.48482,3.62759,582.011,0.8292503572269793,0.38106072934174134
24,1,-2.60141,3.4057,582.638,0.8296428723566638,0.3808309513285008
24,2,-2.84567,3.78492,581.703,0.8300954757021326,0.3806619977710643
24,3,-2.42782,3.24846,581.384,0.8303099662836558,0.38142567434719965
24,4,-1.87981,2.90693,582.479,0.8299470129434539,0.3815522670659327
24,5,-1.69253,2.49423,582.524,0.8292906124692885,0.3812427680836801
24,6,-2.01353,2.23873,582.444,0.8290731336826208,0.38127282690850023
24,7,-1.56755,2.12173,582.991,0.8292420766176809,0.38107924639090285
24,8,-2.2946,2.39581,584.244,0.8294228147158473,0.3810317406778656
24,9,-2.55303,2.85152,583.47,0.8294918759277767,0.3810944208653801
25,0,-2.75744,3.181,583.971,0.8298845537510644,0.38138356449663974
25,1,-2.68088,3.39348,584.483,0.830075229088004,0.3813402893492343
25,2,-2.36859,3.28893,584.017,0.8300056899218942,0.3810444053442987
25,3,-2.08459,3.09802,583.31,0.828912733001435,0.38116572214495015
25,4,-2.29724,2.68555,583.151,0.8284211385135897,0.38120137161086587
25,5,-2.30886,2.5775,585.063,0.8283049003679961,0.3811500502010162
25,6,-2.22083,2.799,583.437,0.8283153860905337,0.38105175735680635
25,7,-1.92856,3.15919,584.709,0.8283771947003213,0.38099868480499177
25,8,-2.12105,3.39337,584.45,0.829485505499534,0.38125132254811167
25,9,-2.54123,3.95334,584.483,0.8300615980235263,0.38151439333592385
26,0,-2.43688,3.07166,584.836,0.8301605194327228,0.3815865555864609
26,1,-1.96864,3.0636,584.37,0.8299062499644083,0.38127141938561593
26,2,-2.32507,2.85512,582.845,0.8298934412009911,0.3809938142704258
26,3,-2.53304,2.62086,583.263,0.8295002785387756,0.3808691920816325
26,4,-2.89319,2.42995,582.412,0.8294511759581047,0.3806769785569485
26,5,-2.24494,2.90291,582.091,0.8295031297017987,0.38068043361355913
26,6,-2.02482,3.34981,583.455,0.82923437889965,0.38145644315392857
26,7,-2.22883,3.8791,582.493,0.8290244876410691,0.3815138696954517
26,8,-2.83289,3.78824,584.0,0.8294823908187731,0.3816561616820448
26,9,-2.17736,3.42815,584.291,0.8297008187744208,0.3814970524733498
27,0,-2.07274,2.82519,586.119,0.829552642335383,0.3815076157547563
27,1,-2.2488,2.37813,584.501,0.8301258037363921,0.381236411335004
27,2,-2.96858,1.55411,584.402,0.83026273706193,0.38124186007404554
27,3,-3.03336,1.70494,584.563,0.8300182303326936,0.3812073533289348
27,4,-2.4496,1.88748,584.291,0.8293729673738037,0.38135231439261963
27,5,-2.49276,2.71969,583.12,0.8283797223274019,0.38129482675744253
27,6,-2.6889,3.40135,583.615,0.8285060941128453,0.3814035877681212
27,7,-2.66117,4.19506,582.767,0.82889847836134,0.38157974407834955
27,8,-2.57315,4.53859,583.534,0.8289898461009543,0.3811588160040212
27,9,-2.00972,3.91942,583.039,0.8298053807066497,0.3809971546650644
28,0,-2.25619,3.2076,584.977,0.829826616094993,0.3810479411778597
28,1,-2.58066,2.17128,585.623,0.8302304208889496,0.38132876191156295
28,2,-2.57318,1.68841,584.806,0.8304611950314323,0.3816765169806294
28,3,-2.55303,1.62287,582.929,0.8303073191027097,0.3815347168037615
28,4,-2.68878,1.84367,583.261,0.829475535577277,0.38118304418367466
28,5,-2.9327,2.64517,583.776,0.8292748054405524,0.3814947180855505
28,6,-2.92535,3.74689,584.129,0.8292460474968988,0.3812798392427651
28,7,-1.95526,4.30374,585.299,0.8286063996602722,0.3813179029196625
28,8,-2.41896,3.94988,585.079,0.8291027339831175,0.38083603414492634
28,9,-2.36972,3.37715,584.917,0.8294655863776048,0.38131202863167474
29,0,-2.62807,2.73087,585.189,0.8298389470590372,0.3817544479965994
29,1,-2.59346,2.28332,584.998,0.8295977908326149,0.38169675921035995
29,2,-2.62085,2.34272,583.012,0.8299718015771014,0.3813016028607859
29,3,-2.16642,2.38657,583.532,0.8295089173641305,0.3809593828416719
29,4,-2.29602,2.53361,585.489,0.829435951818748,0.38095655051276817
29,5,-2.64813,3.2391,582.712,0.8294553863135704,0.38112656342525125
29,6,-2.86467,3.21615,584.729,0.8295514721434984,0.3809229713976887
29,7,-2.8374,2.56231,586.167,0.8295223954655548,0.3809940403557489
29,8,-3.02043,2.38657,585.242,0.8296909106551777,0.38162331723158843
29,9,-3.01349,2.38657,584.373,0.829986330946343,0.38153150852193723
30,0,-2.72221,2.5335,583.395,0.8300584023569275,0.3813949014424123
30,1,-2.97978,3.01824,583.966,0.8296151666772543,0.38074504308833457
30,2,-2.2007,3.51752,585.569,0.8286608231824012,0.3809592139720504
30,3,-2.07224,3.62759,587.063,0.827953040467695,0.3809394820090684
30,4,-2.45145,3.62759,584.4,0.8286112742775932,0.3812600299405965
30,5,-2.68846,3.33389,584.319,0.8290686483329502,0.381371140379288
30,6,-2.25517,3.39257,583.748,0.829881078890844,0.3816798258065444
30,7,-2.45134,2.70257,583.232,0.8304192177926806,0.38134363502628704
30,8,-2.41765,2.40863,582.879,0.8304949736374857,0.3814927961873775
30,9,-2.85074,1.72603,583.612,0.8305281462169676,0.3814154083694052
31,0,-2.85786,2.11448,584.943,0.8308536611036078,0.3809865057330463
31,1,-2.95247,2.14435,585.541,0.8302245410369241,0.38098970443525526
31,2,-2.85789,2.32029,583.451,0.8294901447203321,0.38127524534331597
31,3,-2.47887,2.75337,584.154,0.8289305291709833,0.3811793524769126
31,4,-2.10639,3.52403,583.749,0.8285610657891141,0.3814058782720393
31,5,-3.03934,3.50303,582.418,0.8289761113370885,0.38107493899965433
31,6,-2.87196,4.31665,584.533,0.82922994399433,0.3815514170056711
31,7,-2.59386,4.28892,585.541,0.8292391348066132,0.3814064292783643
31,8,-2.35019,3.32056,583.453,0.8301595284576095,0.3815859505506563
31,9,-2.49174,2.90819,584.425,0.8303684308536229,0.3811967212293817
32,0,-2.35024,1.83767,585.459,0.8303872361220033,0.3812097567340187
32,1,-2.01856,1.08765,584.538,0.8306923063928876,0.38147225418052544
32,2,-2.74778,1.32105,584.752,0.8302553240943282,0.3810043010196794
32,3,-2.92563,2.23799,584.374,0.8298535776466045,0.3815141715582884
32,4,-2.4322,3.65433,583.668,0.8293253319081666,0.3810629719475592
32,5,-2.28893,4.00944,584.317,0.8290360776414132,0.3812762576387458
32,6,-2.35648,4.66871,585.376,0.8287342471381767,0.3811303324188009
32,7,-2.10678,4.94185,584.81,0.8293391945050397,0.3812045974692985
32,8,-2.22744,3.93875,585.105,0.8294587224978914,0.38097190617202925
32,9,-1.88374,3.26144,584.457,0.8293286688181917,0.38104068980377803
33,0,-2.36838,2.85741,581.772,0.8306509161194636,0.38083566645101297
33,1,-2.3505,2.5488,583.198,0.830683570421379,0.3808588022709989
33,2,-2.76144,2.70163,584.128,0.8307724623432068,0.38113147591518504
33,3,-3.17516,2.69523,585.293,0.8307155656240554,0.3809255731134804
33,4,-2.64992,2.8925,585.081,0.8304172540250746,0.381076374884072
33,5,-2.59996,3.10569,585.999,0.829861208397117,0.38107519673754503
33,6,-3.04591,3.36977,585.788,0.8292550992390912,0.38101163536124344
33,7,-2.76449,4.02192,586.706,0.8288756519498731,0.3812370202382982
33,8,-2.43869,4.20036,586.494,0.8287694935849678,0.3809818578146135
33,9,-1.97225,4.34665,582.27,0.8293361328323797,0.3809438114837461
34,0,-2.25341,4.68382,582.925,0.8294940019910184,0.3809536669213675
34,1,-2.64671,4.33439,584.586,0.8297320974528548,0.38108156748881317
34,2,-2.18967,3.1036,584.917,0.8300919613620338,0.3808946612308376
34,3,-2.22708,2.69531,586.54,0.8302248791364082,0.3812321671964965
34,4,-2.22151,2.52675,586.224,0.8306629493111861,0.3816280985729622
34,5,-3.00977,2.40894,585.976,0.8306747550113461,0.38091272528135584
34,6,-2.85295,2.38657,585.435,0.8304580228021996,0.3810919924002551
34,7,-2.39218,2.75192,586.622,0.8300016020544494,0.3809177691609238
34,8,-2.69319,3.2292,583.792,0.830099949090904,0.38069689931390843
34,9,-2.34554,4.29091,584.419,0.8294587338565548,0.3811697889137502
35,0,-1.66198,5.38573,582.484,0.8289432434773537,0.381065941566884
35,1,-2.03545,5.63231,584.17,0.8286866082007149,0.3811722777074222
35,2,-1.7968,5.48624,584.376,0.8291574489969448,0.38078910515855463
35,3,-1.8747,4.34604,583.94,0.8297106229824547,0.3810466091704749
35,4,-1.80212,3.35231,584.667,0.8308843732391251,0.3814030670937508
35,5,-2.03002,1.90916,585.457,0.8314725428678542,0.38126385439949945
35,6,-2.85336,1.6004,586.163,0.8310372094705147,0.38161369941884504
35,7,-2.61006,1.69586,585.519,0.8308179082223456,0.38163198937651177
35,8,-2.59961,2.08324,585.81,0.8299996015606383,0.3814474793651152
35,9,-2.50647,3.43621,584.356,0.8294184890961739,0.38105326780295096
36,0,-2.26313,4.91301,584.397,0.8295477718529123,0.3809693107972271
36,1,-2.33545,5.1775,583.753,0.8290889873799326,0.38101778725906993
36,2,-2.91514,5.22794,584.313,0.8294582160596439,0.3808067996914772
36,3,-2.34134,4.37519,586.183,0.8296631981755973,0.38087574342026576
36,4,-1.64206,3.59438,585.603,0.8302411201085167,0.38115012312769825
36,5,-1.83285,2.70743,583.381,0.8306695734420406,0.38158682391014803
36,6,-2.27299,2.3362,583.337,0.8309341547648846,0.3816165432977949
36,7,-2.4442,1.70785,583.234,0.8307488119987894,0.38110814606072907
36,8,-2.19609,2.69379,584.769,0.8302285484950924,0.3810554524594007
36,9,-1.91119,3.56505,585.0,0.8299019574186333,0.38095969900057386
37,0,-2.52087,4.52476,584.647,0.8304421927246239,0.38108062202014054
37,1,-2.59469,4.26301,585.372,0.830180260063585,0.3810741852910756
37,2,-1.74666,4.39637,584.814,0.8303057914499237,0.3808413146431959
37,3,-2.57165,4.55961,583.215,0.8308960686277609,0.38095984317699466
37,4,-3.03954,3.5623,584.954,0.8306650493344193,0.38109179912041496
37,5,-2.61101,2.88152,584.006,0.8301154529747692,0.38125955764645586
37,6,-2.26349,2.40425,585.39,0.829671329658407,0.3811319454528247
37,7,-2.26805,2.58242,585.707,0.8298772536017237,0.380807478534374
37,8,-1.68459,2.52733,584.276,0.8300860676170454,0.38088758140951134
37,9,-2.5037,2.77325,584.665,0.8300892148634865,0.381076490489335
38,0,-2.54861,2.79109,584.647,0.8304702627515705,0.38120862056383237
38,1,-2.59925,3.20515,584.294,0.8306800595549929,0.38109123575700554
38,2,-2.30548,3.7051,585.826,0.8310610585698264,0.3812928130143932
38,3,-2.40222,3.67297,585.252,0.8307043794805776,0.3811364482201054
38,4,-2.93472,3.62759,583.032,0.8306952189039434,0.38114701107179083
